epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2350.98,0.71818,0.38171,0.95515,0.96105,0.85296,0.91585,0.6861,0.73343,0.34378,1.00012,0.007921,0.007921,0.007921
44,2405.3,0.71431,0.37751,0.95354,0.89664,0.87108,0.90753,0.67249,0.73782,0.3478,1.00053,0.0078715,0.0078715,0.0078715
45,2459.52,0.70759,0.374,0.94867,0.89266,0.87191,0.9121,0.68271,0.73072,0.34298,1.00072,0.007822,0.007822,0.007822
46,2513.74,0.70761,0.3734,0.94942,0.96741,0.84728,0.91584,0.68631,0.73128,0.34205,1.00325,0.0077725,0.0077725,0.0077725
47,2568,0.70147,0.37308,0.9479,0.95669,0.83239,0.91408,0.67984,0.73446,0.34643,1.00345,0.007723,0.007723,0.007723
48,2622.32,0.70511,0.37032,0.94976,0.94169,0.83861,0.91278,0.68453,0.7232,0.34311,0.99766,0.0076735,0.0076735,0.0076735
49,2676.74,0.69877,0.37069,0.94645,0.94226,0.85227,0.9131,0.68255,0.72311,0.34175,0.99622,0.007624,0.007624,0.007624
50,2731.22,0.69729,0.36824,0.94667,0.96113,0.86416,0.92153,0.70001,0.71924,0.33725,0.99627,0.0075745,0.0075745,0.0075745
51,2785.71,0.69826,0.36924,0.94487,0.96262,0.86127,0.92119,0.69243,0.71985,0.33916,0.99639,0.007525,0.007525,0.007525
52,2840.19,0.69322,0.3672,0.94658,0.9527,0.8631,0.91855,0.68567,0.72316,0.33679,0.99801,0.0074755,0.0074755,0.0074755
53,2894.66,0.69058,0.36397,0.94415,0.93831,0.85547,0.91136,0.66911,0.78711,0.35658,1.02262,0.007426,0.007426,0.007426
54,2949.05,0.68607,0.36264,0.94256,0.9516,0.86435,0.92003,0.69276,0.74343,0.33881,1.00517,0.0073765,0.0073765,0.0073765
55,3003.49,0.6876,0.36405,0.94236,0.94806,0.863,0.91753,0.69909,0.71695,0.33333,0.99812,0.007327,0.007327,0.007327
56,3057.94,0.6861,0.36174,0.94316,0.9534,0.86693,0.91713,0.70057,0.72411,0.33375,1.00004,0.0072775,0.0072775,0.0072775
57,3112.42,0.67918,0.35845,0.93767,0.95035,0.86473,0.9178,0.70111,0.71612,0.3324,0.99696,0.007228,0.007228,0.007228
58,3166.85,0.67852,0.35895,0.94128,0.93137,0.87191,0.9185,0.70326,0.72367,0.33142,1.00028,0.0071785,0.0071785,0.0071785
59,3221.19,0.67797,0.35682,0.93932,0.94039,0.87246,0.91905,0.70399,0.72657,0.33238,1.00163,0.007129,0.007129,0.007129
60,3275.48,0.67683,0.35599,0.93871,0.94935,0.86467,0.92058,0.7055,0.71701,0.33191,0.99764,0.0070795,0.0070795,0.0070795
61,3329.67,0.67104,0.3549,0.93574,0.96377,0.85206,0.9166,0.69879,0.71693,0.33227,0.99682,0.00703,0.00703,0.00703
62,3383.79,0.67135,0.35531,0.93685,0.96666,0.85187,0.91561,0.70237,0.71769,0.3317,0.99783,0.0069805,0.0069805,0.0069805
63,3437.96,0.67208,0.35503,0.93606,0.96273,0.85079,0.91504,0.69545,0.71786,0.33244,0.99778,0.006931,0.006931,0.006931
64,3492.19,0.66991,0.35487,0.93728,0.96335,0.84793,0.91444,0.69149,0.72135,0.33372,0.99834,0.0068815,0.0068815,0.0068815
65,3546.5,0.66785,0.35174,0.9343,0.96432,0.84567,0.91247,0.69057,0.72084,0.33373,0.99779,0.006832,0.006832,0.006832
66,3600.89,0.6644,0.35106,0.93544,0.96351,0.84271,0.91076,0.68318,0.74077,0.34048,1.00499,0.0067825,0.0067825,0.0067825
67,3655.25,0.66775,0.35059,0.93629,0.96316,0.84259,0.91188,0.68875,0.73139,0.33719,1.0012,0.006733,0.006733,0.006733
68,3709.66,0.6628,0.34993,0.93236,0.96351,0.83915,0.91059,0.67986,0.75423,0.34554,1.00944,0.0066835,0.0066835,0.0066835
69,3764.08,0.65984,0.34849,0.93225,0.96797,0.83993,0.9123,0.6871,0.72828,0.33653,1.00077,0.006634,0.006634,0.006634
70,3818.6,0.6625,0.34957,0.93369,0.96888,0.83386,0.91048,0.68184,0.74555,0.3419,1.00695,0.0065845,0.0065845,0.0065845
71,3873.13,0.65493,0.34537,0.92879,0.96855,0.83389,0.91029,0.68408,0.73811,0.33919,1.0044,0.006535,0.006535,0.006535
72,3927.64,0.65578,0.34537,0.93171,0.95404,0.8323,0.91028,0.68628,0.73244,0.33741,1.00248,0.0064855,0.0064855,0.0064855
73,3982.14,0.65742,0.34595,0.93087,0.94545,0.84575,0.91003,0.70025,0.71551,0.33132,0.99795,0.006436,0.006436,0.006436
74,4036.66,0.64976,0.34258,0.92917,0.94102,0.84746,0.91061,0.70257,0.7148,0.32978,0.99857,0.0063865,0.0063865,0.0063865
75,4091.13,0.64869,0.34143,0.92724,0.94164,0.84753,0.90943,0.70284,0.71464,0.33,0.99841,0.006337,0.006337,0.006337
76,4145.54,0.65059,0.34446,0.92967,0.94891,0.84861,0.90841,0.70211,0.71537,0.33122,0.99807,0.0062875,0.0062875,0.0062875
